day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
-7,81,0.3146,4.5555,0.3502,Colpidium,1,1,Colpidium,1,Colpidium
-7,93,0.3286,4.0473,0.3349,Colpidium,2,2,Colpidium,1,Colpidium
-7,92,0.3285,3.9902,0.3524,Colpidium,3,3,Colpidium,1,Colpidium
-7,96,0.3351,4.0335,0.3995,Colpidium,4,4,Colpidium,1,Colpidium
-7,104,0.3269,3.549,0.3477,Colpidium,5,5,Colpidium,1,Colpidium
-7,51,0.0843,1.189,0.3108,Collodictyon,1,6,Collodictyon,1,Collodictyon
-7,46,0.0843,1.2928,0.3605,Collodictyon,2,7,Collodictyon,1,Collodictyon
-7,20,0.0843,2.1237,0.3391,Collodictyon,3,8,Collodictyon,1,Collodictyon
-7,19,0.0843,2.2448,0.3377,Collodictyon,4,9,Collodictyon,1,Collodictyon
-7,38,0.0843,2.3407,0.3459,Collodictyon,5,10,Collodictyon,1,Collodictyon
-7,1,0.4411,1,1,Paramecium,1,11,Paramecium,1,Paramecium
-7,1,0.341,1,1,Paramecium,2,12,Paramecium,1,Paramecium
-7,0,0.382,1,1,Paramecium,3,13,Paramecium,1,Paramecium
-7,0,0.4592,1,1,Paramecium,4,14,Paramecium,1,Paramecium
-7,0,0.3503,1,1,Paramecium,5,15,Paramecium,1,Paramecium
-7,64,0.3515,4.0767,0.3367,Colpidium,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,71,0.0843,4.0767,0.3367,Collodictyon,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,108,0.3375,4.5086,0.3842,Colpidium,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,73,0.0843,4.5086,0.3842,Collodictyon,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,124,0.3728,3.9555,0.3485,Colpidium,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,59,0.0843,3.9555,0.3485,Collodictyon,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,83,0.3363,4.078,0.2869,Colpidium,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,87,0.0843,4.078,0.2869,Collodictyon,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,107,0.3335,3.9036,0.3057,Colpidium,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,102,0.0843,3.9036,0.3057,Collodictyon,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
-7,71,0.3632,3.7922,0.3617,Colpidium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,2,0.3617,1,1,Paramecium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,90,0.3227,3.9054,0.3844,Colpidium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,2,0.3844,1,1,Paramecium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,57,0.338,4.4048,0.3433,Colpidium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,3,0.3433,1,1,Paramecium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,113,0.3638,3.8958,0.3834,Colpidium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,3,0.3834,1,1,Paramecium,4,24,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,60,0.3043,3.9941,0.2804,Colpidium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,0,0.2804,1,1,Paramecium,5,25,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
-7,34,0.0843,0.5251,0.3621,Collodictyon,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-7,69,0.3621,1,1,Paramecium,1,26,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
