day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
2,52,0.3556,6.32,0.322,Colpidium,1,1,"Colpidium, Dileptus",1,Colpidium
2,0,0.3556,1,1,Dileptus,1,1,"Colpidium, Dileptus",1,Colpidium
2,66,0.3598,6.56,0.3232,Colpidium,2,2,"Colpidium, Dileptus",1,Colpidium
2,0,0.3598,1,1,Dileptus,2,2,"Colpidium, Dileptus",1,Colpidium
2,21,0.3027,5.6707,0.0843,Collodictyon,1,3,"Collodictyon, Dileptus",1,Collodictyon
2,0,0.3027,1,1,Dileptus,1,3,"Collodictyon, Dileptus",1,Collodictyon
2,44,0.3652,4.0615,0.0843,Collodictyon,2,4,"Collodictyon, Dileptus",1,Collodictyon
2,0,0.3652,1,1,Dileptus,2,4,"Collodictyon, Dileptus",1,Collodictyon
2,114,0.3538,1,1,Paramecium,1,5,"Paramecium, Dileptus",1,Paramecium
2,0,0.3538,1,1,Dileptus,1,5,"Paramecium, Dileptus",1,Paramecium
2,11,0.296,1,1,Paramecium,2,6,"Paramecium, Dileptus",1,Paramecium
2,0,0.296,1,1,Dileptus,2,6,"Paramecium, Dileptus",1,Paramecium
2,54,0.3301,4.9572,0.316,Colpidium,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,42,0.3301,4.9572,0.0843,Collodictyon,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,0,0.3301,1,1,Dileptus,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,92,0.3359,3.8113,0.3269,Colpidium,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,24,0.3359,3.8113,0.0843,Collodictyon,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,0,0.3359,1,1,Dileptus,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
2,52,0.3145,5.1115,0.3273,Colpidium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,9,0.3145,1,1,Paramecium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,0,0.3145,1,1,Dileptus,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,25,0.352,4.2581,0.33,Colpidium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,13,0.352,1,1,Paramecium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,0,0.352,1,1,Dileptus,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
2,23,0.3373,3.1275,0.0843,Collodictyon,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,13,0.3373,3.1275,0.3362,Paramecium,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,0,0.3373,1,1,Dileptus,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,4,0.3684,3.1654,0.0843,Collodictyon,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,13,0.3684,3.1654,0.336,Paramecium,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,0,0.3684,1,1,Dileptus,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
2,58,0.2976,3.3632,0.3297,Colpidium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,1,0.2976,3.3632,0.0843,Collodictyon,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,56,0.2976,1,1,Paramecium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,0,0.2976,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,107,0.3219,2.4938,0.3351,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,5,0.3219,2.4938,1,Collodictyon,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,64,0.3219,1,1,Paramecium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
2,0,0.3219,1,1,Dileptus,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,68,0.3301,3.707,0.3169,Colpidium,1,1,"Colpidium, Dileptus",1,Colpidium
4,1,0.3301,1,1,Dileptus,1,1,"Colpidium, Dileptus",1,Colpidium
4,84,0.3483,3.278,0.3411,Colpidium,2,2,"Colpidium, Dileptus",1,Colpidium
4,1,0.3483,1,1,Dileptus,2,2,"Colpidium, Dileptus",1,Colpidium
4,134,0.0843,1,1,Collodictyon,1,3,"Collodictyon, Dileptus",1,Collodictyon
4,0,0.3428,1,1,Dileptus,1,3,"Collodictyon, Dileptus",1,Collodictyon
4,40,0.3251,3.4967,0.0843,Collodictyon,2,4,"Collodictyon, Dileptus",1,Collodictyon
4,0,0.3251,1,1,Dileptus,2,4,"Collodictyon, Dileptus",1,Collodictyon
4,75,0.3308,1,1,Paramecium,1,5,"Paramecium, Dileptus",1,Paramecium
4,1,0.3308,1,1,Dileptus,1,5,"Paramecium, Dileptus",1,Paramecium
4,17,0.3121,1,1,Paramecium,2,6,"Paramecium, Dileptus",1,Paramecium
4,0,0.3121,1,1,Dileptus,2,6,"Paramecium, Dileptus",1,Paramecium
4,33,0.2948,3.4022,0.2965,Colpidium,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,6,0.2948,3.4022,0.0843,Collodictyon,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,1,0.2948,1,1,Dileptus,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,30,0.3109,1.947,0.3091,Colpidium,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,23,0.3109,1.947,0.0843,Collodictyon,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,2,0.3109,1,1,Dileptus,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
4,26,0.2778,4.0792,0.3402,Colpidium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,21,0.2778,1,1,Paramecium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,1,0.2778,1,1,Dileptus,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,9,0.3053,1,1,Colpidium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,40,0.3053,1,1,Paramecium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,0,0.3053,1,1,Dileptus,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
4,15,0.3248,1.5903,0.0843,Collodictyon,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,28,0.3248,1.5903,0.333,Paramecium,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,1,0.3248,1,1,Dileptus,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,7,0.0843,1,1,Collodictyon,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,78,0.3164,1,1,Paramecium,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,1,0.3164,1,1,Dileptus,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
4,61,0.3119,2.1961,0.3602,Colpidium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,5,0.3119,2.1961,0.0843,Collodictyon,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,96,0.3119,1,1,Paramecium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,1,0.3119,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,45,0.293,4.3888,0.3165,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,46,0.0843,1,1,Collodictyon,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,107,0.293,1,1,Paramecium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
4,0,0.293,1,1,Dileptus,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,18,0.321,2.7263,0.3273,Colpidium,1,1,"Colpidium, Dileptus",1,Colpidium
6,5,0.321,1,1,Dileptus,1,1,"Colpidium, Dileptus",1,Colpidium
6,24,0.3292,1,1,Colpidium,2,2,"Colpidium, Dileptus",1,Colpidium
6,8,0.3292,1,1,Dileptus,2,2,"Colpidium, Dileptus",1,Colpidium
6,34,0.3305,1,1,Collodictyon,1,3,"Collodictyon, Dileptus",1,Collodictyon
6,6,11.7627,1,1,Dileptus,1,3,"Collodictyon, Dileptus",1,Collodictyon
6,32,1.41,8.2898,0.0843,Collodictyon,2,4,"Collodictyon, Dileptus",1,Collodictyon
6,5,1.41,1,1,Dileptus,2,4,"Collodictyon, Dileptus",1,Collodictyon
6,9,0.4915,3.5586,0.3332,Paramecium,1,5,"Paramecium, Dileptus",1,Paramecium
6,0,7.1632,1,1,Dileptus,1,5,"Paramecium, Dileptus",1,Paramecium
6,6,0.452,3.0941,0.3499,Paramecium,2,6,"Paramecium, Dileptus",1,Paramecium
6,0,0.452,1,1,Dileptus,2,6,"Paramecium, Dileptus",1,Paramecium
6,0,0.3348,1,1,Colpidium,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,0,0.3348,1,1,Collodictyon,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,10,0.3348,1,1,Dileptus,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,0,0.3186,1,1,Colpidium,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,0,0.3186,1,1,Collodictyon,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,7,0.3186,1,1,Dileptus,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
6,52,0.3543,1,1,Colpidium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,33,0.3543,1,1,Paramecium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,4,0.3543,1,1,Dileptus,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,2,0.3494,1,1,Colpidium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,72,0.3494,1,1,Paramecium,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,0,5.8473,1,1,Dileptus,2,10,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
6,13,0.3678,1,1,Collodictyon,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,25,0.3678,1,1,Paramecium,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,5,0.3678,1,1,Dileptus,1,11,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,14,0.3218,1,1,Collodictyon,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,26,0.3218,1,1,Paramecium,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,6,0.3218,1,1,Dileptus,2,12,"Collodictyon, Paramecium, Dileptus",2,"Collodictyon, Paramecium"
6,8,0.3592,1,1,Colpidium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,6,0.3592,1,1,Collodictyon,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,47,0.3592,1,1,Paramecium,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,6,0.3592,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,25,0.3345,1.7399,0.3407,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,5,0.3345,1.7399,0.3407,Collodictyon,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,12,0.3345,1.7399,0.3407,Paramecium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
6,4,0.3345,1,1,Dileptus,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
8,1,0.3071,1,1,Colpidium,1,1,"Colpidium, Dileptus",1,Colpidium
8,2,0.3071,1,1,Dileptus,1,1,"Colpidium, Dileptus",1,Colpidium
8,0,0.3041,1,1,Colpidium,2,2,"Colpidium, Dileptus",1,Colpidium
8,5,0.3041,1,1,Dileptus,2,2,"Colpidium, Dileptus",1,Colpidium
8,24,0.0843,1,1,Collodictyon,1,3,"Collodictyon, Dileptus",1,Collodictyon
8,5,12.2187,1,1,Dileptus,1,3,"Collodictyon, Dileptus",1,Collodictyon
8,88,2.1732,8.7071,0.0843,Collodictyon,2,4,"Collodictyon, Dileptus",1,Collodictyon
8,3,2.1732,1,1,Dileptus,2,4,"Collodictyon, Dileptus",1,Collodictyon
8,98,0.3309,1,1,Paramecium,1,5,"Paramecium, Dileptus",1,Paramecium
8,0,0.3309,1,1,Dileptus,1,5,"Paramecium, Dileptus",1,Paramecium
8,33,0.3104,1,1,Paramecium,2,6,"Paramecium, Dileptus",1,Paramecium
8,0,0.3104,1,1,Dileptus,2,6,"Paramecium, Dileptus",1,Paramecium
8,0,0.3125,1,1,Colpidium,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
8,0,0.3125,1,1,Collodictyon,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
8,20,0.3125,1,1,Dileptus,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
8,0,0.2993,1,1,Colpidium,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
